,business_id,name,categories
16,0x88d9072d30280d93:0x51fde096261af79,JK Fast Food & Fruit,"['Restaurant', 'Colombian restaurant']"
17,0x88c317c3eabd5e2b:0x151ee05e62506180,Power Meals,['Restaurant']
18,0x88c2f730debd585f:0xeb36db3a693c980f,Mainstay Tavern,['Restaurant']
19,0x88e77f46ddbc8c89:0x775f1236f0715b94,IDRIVE ORLANDO (International Drive Orlando),"['Tourist attraction', 'Dinner theater', 'Parking garage', 'Restaurant', 'Shopping mall', 'Theme park']"
20,0x88e6d904c645351d:0xb07b9d0df77b6084,Panaggio’s Fusion Bistro,"['Restaurant', 'Italian restaurant', 'Pizza delivery', 'Pizza restaurant', 'Pizza Takeout']"
21,0x88d9a94040ac4fed:0xe2c177a6fc94ba0,Delicious Latino Restaurant,['Restaurant']
22,0x88d9b1c015ea1f1b:0x887379498535ceb0,Store Grocery,['Restaurant']
23,0x88e77ad07d393c57:0x23ebd5e5f4a03239,Sandwich Bar,"['Sandwich shop', 'Restaurant']"
24,0x88d907944065b7cb:0xc3c8f9877b52c59e,Fitlife Foods Plantation,"['Health food store', 'Health food restaurant', 'Restaurant']"
25,0x88e77efef5f01409:0x7deb3a556b542eb4,Orlando Dinner Entertainment,"['Association or organization', 'Restaurant']"
26,0x88e5f3c0ed112c81:0x888fe72641f1ebef,MotLee's,['Restaurant']
27,0x88e5b53b107a2609:0x40106d3b48960d9d,"Daily Dose Craft Bar, Inc.","['Coffee shop', 'Bubble tea store', 'Cafe']"
28,0x8894b5a7a7909725:0xe4687299fd288188,Gormley's on the river | Modern cuisine in historic downtown Apalachicola Florida,"['Modern French restaurant', 'Restaurant']"
29,0x88d9ba5d65937567:0xbc27649cf513cc89,Bachata Rosa,['Restaurant']
30,0x88d900575f0dd065:0x9b3638d2a80be4d,Zampini's Bottega,['Restaurant']
31,0x88d9b719170a9f61:0x30d454a980f76ad3,Choices Cafe,['Restaurant']
32,0x88c2f9a7401967a9:0x85457fe2251f0bce,"Miami Ave. Wine Bar, Music & The arts","['Bar', 'Gift shop', 'Wine store', 'Winery']"
33,0x88e76652cd84272f:0x548abb9935d912ff,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
34,0x88d9b395c6179c89:0x914b0aafb453b3b5,Biscayne Backyard Barbecue,['Restaurant']
35,0x88d91d9e5e488c4f:0x6049fa30d0806848,Chefness Bakery,"['Bakery', 'Cafe', 'Cafeteria', 'Cake shop', 'Cupcake shop', 'Kosher grocery store', 'Kosher restaurant', 'Pastry shop', 'Pizza restaurant', 'Wedding bakery']"
36,0x88d9b1f38dff4dff:0x61443de98cd9c88c,Crab Du Jour Cajun Seafood & Bar,"['Seafood restaurant', 'Bar', 'Cajun restaurant', 'Chicken wings restaurant']"
37,0x88c2c5c515fa6e53:0xee4f630ca314fe01,Flock and Stock,['Restaurant']
38,0x88dd8019b7c4167b:0x7043f86a8346dcf3,Sizzler,"['Restaurant', 'Seafood restaurant', 'Steak house']"
39,0x88e76d9181abf2a9:0x97194d850024543c,Pi Pizza,['Restaurant']
40,0x88db70f25d195ce9:0xdd082161db257728,Dick's Restaurant and Bar,"['Restaurant', 'Bar']"
41,0x88db3f7f99349cf7:0x33cb3b926001e9fb,Henry's cigar bar & lounge,['Bar']
42,0x88e44b7e69565ac5:0x3dfe920e1417a40c,Cajun Boil Express,"['Restaurant', 'Delivery Restaurant', 'Seafood restaurant']"
43,0x88d9072d30280d93:0x51fde096261af79,JK Fast Food & Fruit,"['Restaurant', 'Colombian restaurant']"
44,0x88c317c3eabd5e2b:0x151ee05e62506180,Power Meals,['Restaurant']
45,0x88c2f730debd585f:0xeb36db3a693c980f,Mainstay Tavern,['Restaurant']
46,0x88e77f46ddbc8c89:0x775f1236f0715b94,IDRIVE ORLANDO (International Drive Orlando),"['Tourist attraction', 'Dinner theater', 'Parking garage', 'Restaurant', 'Shopping mall', 'Theme park']"
47,0x88e6d904c645351d:0xb07b9d0df77b6084,Panaggio’s Fusion Bistro,"['Restaurant', 'Italian restaurant', 'Pizza delivery', 'Pizza restaurant', 'Pizza Takeout']"
48,0x88d9a94040ac4fed:0xe2c177a6fc94ba0,Delicious Latino Restaurant,['Restaurant']
49,0x88d9b1c015ea1f1b:0x887379498535ceb0,Store Grocery,['Restaurant']
50,0x88e77ad07d393c57:0x23ebd5e5f4a03239,Sandwich Bar,"['Sandwich shop', 'Restaurant']"
51,0x88d907944065b7cb:0xc3c8f9877b52c59e,Fitlife Foods Plantation,"['Health food store', 'Health food restaurant', 'Restaurant']"
52,0x88e77efef5f01409:0x7deb3a556b542eb4,Orlando Dinner Entertainment,"['Association or organization', 'Restaurant']"
53,0x88e5f3c0ed112c81:0x888fe72641f1ebef,MotLee's,['Restaurant']
54,0x88d9ab97fb55bebf:0x57152adb298e368,WINGS N CURLS,"['Chicken wings restaurant', 'Caterer', 'Family restaurant', 'Restaurant', 'Sandwich shop']"
55,0x88d9ad48bdd6fb47:0x6206bf46016f1806,Bodega Taqueria y Tequila Aventura,['Restaurant']
56,0x88daefafd2b9fc4f:0x4320a4b97686673d,Bombay Liquors & Club,"['Bar', 'Espresso bar', 'Liquor store', 'Night club']"
57,0x889381fc9fb6b7a9:0x1462d721c1f99d63,In & Out Seafood & Wings,"['Takeout Restaurant', 'American restaurant', 'Chicken wings restaurant', 'Fast food restaurant', 'Fish & chips restaurant', 'Hamburger restaurant', 'Restaurant']"
58,0x88e83fc3b0861be3:0xa155e9c6eec93d03,The Hot Spot,['Cafe']
59,0x88e5b3d14b1e8f69:0x7cc8bdb937eb8bf,Mother's Cafe & Bar,"['Southern restaurant (US)', 'Restaurant']"
60,0x88d901bc6387dc57:0x485755851e90c952,Danny's Kitchen,"['Seafood restaurant', 'Bar', 'Bar & grill', 'Beer garden', 'Brewery', 'Brunch restaurant', 'Live music bar']"
61,0x88dca899d53d71bb:0x402cf932eeaa4ab0,Shell,"['Gas station', 'ATM', 'Convenience store', 'Restaurant']"
62,0x88d90319155c44a9:0x9abfade11830d0ca,Starlight Restaurant & Lounge,"['Mexican restaurant', 'Bar']"
63,0x88de1ba5af24959b:0x888f7b0a9c0b6e4b,Salty Bagel and Grill,['Restaurant']
64,0x88dd7eee52a60c47:0x60c5d3ef1e784bf,Polar Pub,"['Bar', 'Bar & grill']"
65,0x88e7bdba1b5c8679:0xe4129b5f1d9bafee,Dora Queen,"['Event venue', 'Bar', 'Cruise line company', 'Tour operator', 'Tourist attraction', 'Wedding venue']"
66,0x88e771736bf3faa9:0x8e6643eaee47e013,The Bridge Restaurant,['Restaurant']
67,0x88d91bcb90e4be4f:0x306dee8d258b0a53,Nikuya Sushi Thai Bistro,"['Asian fusion restaurant', 'Japanese restaurant', 'Japanese steakhouse', 'Delivery Restaurant', 'Restaurant', 'Sushi restaurant', 'Thai restaurant']"
68,0x88e7650b058adc5b:0xc81975fef365cf76,Copas Restaurant Bar & Lounge,['Restaurant']
69,0x88d9b99c54d9fb41:0xa89a41a1e19b7fb6,Esencias Cafe,['Restaurant']
70,0x88e7c5d72cf9c369:0xaf690975e256e3d9,Senior Social Center Internet Cafe,['Cafe']
71,0x88e71286d860ae23:0x8f1e6c4ea94674a6,Joe's Crab Shack,"['Seafood restaurant', 'Bar', 'Restaurant']"
72,0x88c2f9828dba2ff1:0xd5adba7afc97afde,Burger King,"['Fast food restaurant', 'American restaurant', 'Breakfast restaurant', 'Hamburger restaurant', 'Restaurant']"
73,0x88dc77a238dd1de7:0xb973a03497efe541,Palmdale Cracker,['Restaurant']
74,0x88c2ce7898a93b23:0x9ea58cee455e8cf9,South Pacific Grill,['Restaurant']
75,0x88e4fefa94b78491:0xf7f76b02a39ed0a0,"Alley Cat Seafood, Beer House & Wine Boutique","['Restaurant', 'Piano bar', 'Wine bar']"
76,0x88e77b39aeea56ed:0x7f8cf15682e5d24c,PAPA LLAMA,['Restaurant']
77,0x88e449a265786841:0x95b13b166861dc54,BurgerFi,"['Hamburger restaurant', 'American restaurant', 'Bar', 'Fast food restaurant', 'Hot dog restaurant', 'Ice cream shop', 'Lunch restaurant', 'Takeout Restaurant', 'Restaurant']"
78,0x88ec61fd3e87abeb:0x4f635dd897f06448,Big Randy’s,['Restaurant']
79,0x88e5b8e92b6cc247:0xf3623525c87b15ac,Tienda El Castillo,"['Restaurant', 'Bakery', 'Breakfast restaurant', 'Burrito restaurant', 'Candy store', 'Convenience store', 'Grocery store', 'Spanish restaurant', 'Taco restaurant', 'Tobacco shop']"
80,0x88dc1f86a88dc809:0x13c0c1bd2c1418c2,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
81,0x88de11587157e939:0xc6999fb1778000d4,Nautical Cafe,['Cafe']
82,0x88c2d2779608fa4b:0xbd9be2942baa3b9a,Subway Restaurants,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Restaurant']"
83,0x88e77b8f2d166875:0x33239ebde28f1b20,Veronica’s Restaurant,"['Haitian restaurant', 'Restaurant']"
84,0x88d9b6811a7761f5:0xf3d18ce005b495a0,Subway,"['Sandwich shop', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
85,0x88d9ad6d13143597:0x8c5622f2372bbbf8,HOOKAH UP CAFE,"['Cafe', 'Hookah bar']"
86,0x88dc57fd0dbd26d5:0x58fe3ecb52b28ac9,Argana Diner ( Halal & Mediterranean Food ),['Restaurant']
87,0x88d9037030181e2b:0xff2f3e44eb29bc01,Vincenzo's New York to Chicago Pizzeria,"['Restaurant', 'Pizza Takeout']"
88,0x88dae1e9c04de3e7:0x7543cac1b9b0829b,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
89,0x88c2e3e4b5754311:0xe96c2d5496d73ccf,Polonia Inc,['Bar']
90,0x88d9b98728e6a527:0xfb5bd70408dd12c4,Prana,"['Vegetarian restaurant', 'Health food restaurant', 'Restaurant']"
91,0x88c2fd5dd7d2efad:0xe7939d4e983a7e88,Sloppy Pelican,['Restaurant']
92,0x88de11ac2c1faa45:0xa9405d31c07cc21f,His & Hers Restaurant and Bar,['Restaurant']
93,0x88dd13c78c0f2fd5:0x73d6a1820bae1a4c,Ave Bar,['Bar']
94,0x88d904b557d738ab:0xe2702391589bfc23,Char-Hut,"['American restaurant', 'Restaurant']"
95,0x88dd3f5cacd4942f:0xe36e7d413944c682,M&M Rumba's Sports bar & Grill,"['Sports bar', 'Bar']"
96,0x88e5b7ca5390c319:0x3635140951c87767,Daily's and Daily's Dash,"['Convenience store', 'ATM', 'Deli', 'Gas station', 'Restaurant']"
97,0x88e4ffefb0183587:0x2b93ad2c7fd1a2b4,Sadler Ranch,['Bar']
98,0x88d9a934ff20a5df:0xaf49465d6650ec3f,Le Bifteck Restaurant,"['Restaurant', 'Bistro']"
99,0x88d905b3dbe39d5d:0xb55e1859e2c260d1,Smoothie Jungle Cafe (Coral Springs),['Restaurant']
100,0x88c2ba07a7d66bcb:0x308618362f080187,Villa Italian Kitchen,"['Pizza restaurant', 'Caterer', 'Italian restaurant', 'Pasta shop', 'Restaurant', 'Salad shop']"
101,0x88e6c065111295c1:0x5fa77e79fffca28e,Kool Beenz Coffee and Smoothies,['Cafe']
102,0x88dca649c111cf5d:0xa402c28e0319338e,Krispy Krunchy Chicken,['Restaurant']
103,0x88d8e1247ca8df97:0xa47689438f9159f6,The Pampa Grill,"['Family restaurant', 'Restaurant']"
104,0x88d9b69be594d6cd:0x4333ea743ab5734b,Salt & Sugar Cafe,['Restaurant']
105,0x88d8e218d8f60b33:0x59198f48e99f2472,13 American Table,"['New American restaurant', 'American restaurant', 'Bar & grill', 'Cocktail bar', 'Fine dining restaurant', 'Hamburger restaurant', 'Restaurant', 'Sandwich shop', 'Seafood restaurant', 'Wine bar']"
106,0x88d8df651f074ff7:0xe10096876adbe6ac,CLOSED Hungry Howie's,"['Pizza restaurant', 'Restaurant']"
107,0x88e71e9d6453cf19:0xc7e1f457b5592229,Soft Tails,"['Adult entertainment club', 'Bar']"
108,0x88ec5f10121a3379:0xe259b6adc9dd97c0,Great Games Library & Cafe,"['Board game club', 'Cafe']"
109,0x88de8d2ef511c0f5:0xd4f2bf74267f137a,Angry Bull Saloon,"['Pizza restaurant', 'Bar']"
110,0x88d9b7ccc71589f3:0x8c2e01f74a939004,Chart House - CLOSED,"['Restaurant', 'American restaurant', 'Banquet hall', 'Fine dining restaurant', 'Seafood restaurant', 'Steak house']"
111,0x88dd869645ee105b:0x82ae3d475b42e1dc,Sazón Tropical Cafe,['Restaurant']
112,0x88c2a1aefdd8c0ef:0xf070a78be6c4f4,U-Pick Blueberries,['Cafe']
113,0x88d9012935620241:0xb3a9b5b0671e51a5,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
114,0x88c2c12a185b9c35:0x95bd1dd23d3d3106,El Johnny d'luxe,['Restaurant']
115,0x88c2cd7aa4b4a913:0xe33898325d74edd6,Soulful Flavors Seffner,['Restaurant']
116,0x88d9b12bab9b09ab:0xc3d2e262fbbd88a9,Fritanga El Campesino,"['Honduran restaurant', 'Cafe']"
117,0x88c3308f20942667:0x3961aaf94190ce8b,Buckaroo Roadhouse,['Restaurant']
118,0x88d9030c2e62da5d:0xa0e94333d213c036,Fantasy Karaoke Club,"['Lounge', 'Bar', 'Karaoke', 'Karaoke bar', 'Night club']"
119,0x88e5eddc88b297bb:0xfa84be4d3f1da68d,The Shack,"['Bar', 'Restaurant']"
120,0x88d8d5299d039e43:0x65a94f22f6b7a95c,Epic Cafe Bar and Grill,['Restaurant']
121,0x88d903a5fd32b767:0x78f9d79d1c30a94d,Crisp Eatery and Bar,['Restaurant']
122,0x88d9bfa555b15265:0x7c664601387e00a4,Havana Vice,"['Restaurant', 'Live music venue']"
123,0x88dae2c9d6a75027:0x1d07c14380c72ba7,Nemo Sports Bar,"['Bar', 'Seafood restaurant', 'Sports bar']"
124,0x88de11cb42aef823:0x6aa92f0930879c6e,Fiesta Bar&Grill,['Restaurant']
125,0x88e5c42d5ce4be29:0xf88f502f462b6cf8,The Lunch Box Deli,"['Cafe', 'Delivery Restaurant']"
126,0x88e7240eabdff42f:0xa59118725edd85e0,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
127,0x88d9ad3076d8e117:0x54b185f95008de85,Sunny Terrace,"['Restaurant', 'Cafe']"
128,0x889377533c9b26f7:0x7995d5ec98378401,Slip Away,['Bar']
129,0x88d9ac50c8089349:0xf89d2e802cc115a0,"Good Karma For All, LLC","['Antique store', 'Cafe', 'Clothing store', 'Coffee shop', 'Costume jewelry shop', 'Event venue', 'Ice cream shop', 'Interior designer', 'Non-profit organization', 'Used furniture store']"
130,0x88d9b6ef86cb1473:0x36a9fa6f6f4c605,Bar Tentacion,['Bar']
131,0x88d9a7c238a5816d:0x5321e417d1ad68f1,3Natives,"['Health food restaurant', 'Cafe', 'Juice shop', 'Sandwich shop']"
132,0x88d90110ccbead4d:0x76486cef5faf059c,JBANGER SOUL Food,['Restaurant']
133,0x88c36b8fc9e9d1a5:0x1c4219d25e5651fa,The Whiskey Barrel,"['Bar', 'Restaurant']"
134,0x88d9c76c8f00044b:0x20f2c6349aef7800,Starbucks,"['Coffee shop', 'Breakfast restaurant', 'Cafe', 'Coffee store', 'Espresso bar', 'Internet cafe']"
135,0x88c2e365365d9729:0x644aef64e031bf73,The Chicken Spot,['Restaurant']
136,0x88e76fa45b3fdff3:0xb710800d32591986,Antojitos Catrachos movil,['Restaurant']
137,0x88e44f1a3561ad6b:0x50c91307f4b63c5f,Island Girl Mayport Taproom,"['Bar', 'Cigar shop']"
138,0x88e6da2632b7a201:0x19728e3489fddc17,ScuttleButtS Pub Restaurant,['Restaurant']
139,0x88d9b7cf901aa20d:0x7ac94c53e005abde,Jimmy John's,"['Sandwich shop', 'Caterer', 'Delivery Restaurant', 'Restaurant']"
140,0x88c317e79b5bd5fd:0x6b0c1bbf75c9850c,Maxx Nutrition and Smoothies,['Cafe']
141,0x88e7a06be791aa09:0x67394c10f5deb3ae,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
142,0x88d1b6e9c28f08eb:0x5cc01135ddb333c8,Cuzzy Bubbaz,"['American restaurant', 'Restaurant']"
143,0x88c2c6e8aebc6c0f:0xfac156caeb0fd68,Fatso's Billiards,"['Cafe', 'Pool hall']"
144,0x88c2d93892be3549:0xdec3cca6bfb9b343,The Daily Grind Coffee Co.,['Cafe']
145,0x88d9b7cf7625235f:0xe79477006a63cadf,Fat Tuesday,"['Bar', 'Ice cream shop', 'Night club']"
146,0x88d9b6d58b1f9eed:0x361056e5d8c82e1e,La Familia Bar Restaurant,"['Bar', 'Restaurant']"
147,0x88c2e7612c98d3e1:0xe13a9bf752450023,ti bamboo caribbean restaurant and lounge,['Restaurant']
148,0x88c35b6b3e405ae3:0x14c99f5f78b1a914,Nokomis Pool Hall Pub,['Bar']
149,0x88db1763826c4743:0x277418ee319b9a37,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
150,0x88e77e26033cceb5:0xa61b1cac6ad6ddf5,Lakeside Grill,['Restaurant']
151,0x88d91dfba175edcb:0xba669898be5f9989,Fresh Eats,['Restaurant']
152,0x88ded664dbc87107:0xaedb4243e35923c2,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
153,0x88d9b6a42397b4e3:0xba32f2f73f5a966a,SQL Miami,"['Night club', 'Bar']"
154,0x88d9ad1ad5daecf7:0xe742998996059085,BAHOR WOOD OVEN & GRILL RESTAURANT,"['Restaurant', 'Georgian restaurant', 'Russian restaurant', 'Uzbeki restaurant']"
155,0x88d9b7a3506a2169:0x9bceb25b50dd779,Caro Mio Ristorante,['Restaurant']
156,0x88e5c3359a99f207:0x3bbd528a15d64c2a,Big Daddy's Sub Shop,"['Restaurant', 'Deli']"
157,0x88c2e52a22eb6441:0x4cf17ca68dfa4336,Thee Manor,"['Adult entertainment club', 'Bar', 'Night club']"
158,0x88db1d046aea8ad9:0x284e42fc2cfb21cc,Poke Mahi of Naples,['Restaurant']
159,0x88de1cea2324e18b:0x3d8fe83b04495246,Jack Baker's Lobster Shanty,['Restaurant']
160,0x88c2f2a928337e2b:0xb7dc20ed929c4dec,Palms Bar,"['Bar', 'Karaoke bar', 'Pub']"
161,0x88c2fca19c5e667f:0xce54b447051c0d48,China Dragon,"['Restaurant', 'Asian restaurant', 'Chinese restaurant', 'Fast food restaurant', 'Delivery Restaurant', 'Takeout Restaurant']"
162,0x88d9a0abc4f377ef:0xafe482f3cb99071b,Baru Latin Bar Weston,['Bar']
163,0x88e5cb5041c8cdaf:0xfd9f0349070fff67,SHORES PUB MANDARIN,['Bar']
164,0x88d9bf29ce6fd5ad:0xbe51eec47e0a780f,Masayita Minimarket Corporation,"['Grocery store', 'Restaurant']"
165,0x88e7d50f3302d53d:0xaa6acd2b0b08e0ce,Arthur's An American Bistro,"['Bistro', 'American restaurant', 'Restaurant']"
166,0x88e7e7a4e21df56b:0xe410c6c2d5f3f9ca,Shrimps on the Lake,['Restaurant']
167,0x88db6f20a6f4a265:0x2566dc0377e83ec3,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
168,0x88e712f54b7f9b7d:0x1074b6b1befd76ab,Shay's Airport Lounge,"['Lounge', 'Bar']"
169,0x88d8d9502476e3f3:0xe7e9da7918972767,Library,['Bar']
170,0x88d9b557c8d61ba3:0x7423924bfc229066,Le Piment Miami,['Restaurant']
171,0x88dd3f0f0116eb99:0xb8ab0e854c1ab65a,Einstein Bros. Bagels,"['Bagel shop', 'Bakery', 'Breakfast restaurant', 'Cafe', 'Coffee shop']"
172,0x88c2b75f474e8a81:0x1e5fef381a20a6f5,First Watch,"['Breakfast restaurant', 'Cafe', 'Diner']"
173,0x88c2c4522aee84cd:0xd0faa27130459c78,Istanblu Restaurant & Bar,"['Turkish restaurant', 'Bar', 'Family restaurant', 'Mediterranean restaurant', 'Restaurant']"
174,0x88d7661b67d14f4d:0x2cd1a23a04165eae,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
175,0x88db41e2e1dbac35:0x69b74626354e343d,The Connection Bar & Grill,"['Bar & grill', 'Cafe', 'Takeout Restaurant', 'Restaurant', 'Sandwich shop', 'Seafood restaurant']"
176,0x889386a8bbed12d7:0xb35401858760cd61,The Dungeon Tavern,['Bar']
177,0x88d9b48851c8d60f:0x32c31a70023645fc,LOS PERROS,['Restaurant']
178,0x88e75d2869220b6d:0xc63bda4a6c0ad04c,Latin American Café & Restaurant,['Restaurant']
179,0x88e9a92f4d2fb6c3:0xe9fa6dd41782f2d5,The Oar House,['Restaurant']
180,0x88e77a4d18a75a09:0xe8d4311a0b31534b,Club 441,['Bar']
181,0x88d9a84174f8734b:0x9a328a9c7274c16c,Knucklehead Burgers,"['Hamburger restaurant', 'Restaurant']"
182,0x889143583f2f2387:0xc2e3a45058080b88,TGI Fridays,"['Restaurant', 'American restaurant', 'Bar', 'Bar & grill', 'Takeout Restaurant']"
183,0x88c3415f54a9bb83:0x520e67a083bb3571,Bridges Restaurant,['Restaurant']
184,0x88d8df82fc33f73b:0x5b2d78747683da48,Higher Ground Cafe,"['Coffee shop', 'Bagel shop', 'Cafe', 'Espresso bar', 'Pastry shop', 'Restaurant', 'Salad shop', 'Sandwich shop']"
185,0x88d9b68400d6539b:0xbcbb43d2e4e4b8b9,Prime Cigar,"['Cigar shop', 'Bar', 'Night club']"
186,0x88c2f2dbe1dfdb2d:0x722c38ccd252a0bc,Le Gumbo's Cajun Cafe,"['Cafe', 'Creole restaurant', 'Sandwich shop']"
187,0x88e665ef4e6d51d9:0x15ba4a3671abf5d3,Pjana Burgers,['Restaurant']
188,0x88df2975f502fe2d:0xd80184a2406869b5,Bellini's Eatery,['Restaurant']
189,0x88d9a5ea448dd88d:0xe04def60536fce85,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
190,0x88dd1347fe72d5d9:0x80aac2097fb0c267,The Social Cocktail Lounge,['Bar']
191,0x88d8d68831e4d45d:0x199b133acf584e21,Tina's Cafe,['Restaurant']
192,0x88c2f6d18507cc7d:0xd0d59fcc74f80ad0,Kiku Japanese Restaurant,"['Japanese restaurant', 'Restaurant']"
193,0x88e4330a8b8444bb:0x7e45604cbc6faa4d,Grumpy's Restaurant,"['American restaurant', 'Breakfast restaurant', 'Brunch restaurant', 'Caterer', 'Diner', 'Family restaurant', 'Lunch restaurant', 'Restaurant']"
194,0x88d907a7630b6783:0x8b14ad72f44df80d,Bulla King Bakery,['Restaurant']
195,0x88e5b7c5b4c10831:0x23a7898f5282e2d6,Tossgreen,"['Health food restaurant', 'Burrito restaurant', 'Juice shop', 'Restaurant', 'Salad shop']"
196,0x88e76e396a189ecd:0x31b57d0a1d3076ca,Suspenders Saloon,['Bar']
197,0x88e7eb1a9e6dcb65:0xe2595e7f2714a02,Taco Bell,"['Fast food restaurant', 'Breakfast restaurant', 'Burrito restaurant', 'Lunch restaurant', 'Takeout Restaurant', 'Mexican restaurant', 'Restaurant', 'Taco restaurant', 'Tex-Mex restaurant', 'Vegetarian restaurant']"
198,0x88d9bf5ad06adc7f:0x9eb026b7e15c9e90,China Buffet,"['Chinese restaurant', 'Buffet restaurant', 'Restaurant']"
199,0x88ec85c6cee660ad:0xe994b64ee2390068,Shell,"['Gas station', 'ATM', 'Convenience store', 'Restaurant']"
200,0x88e5b9a1ae29d327:0xd39ff3cf790e573f,WingHouse,['Restaurant']
201,0x88d9b2738867031d:0x3bcb53dded6d2e8c,Giraffas Brazilian Grill- North Miami,"['Restaurant', 'American restaurant', 'Brazilian restaurant', 'Family restaurant', 'Hamburger restaurant', 'Steak house']"
202,0x88e8a3ef395d7233:0x9f5f1b7148e78915,Lit at Midtown Restaurant & Patio Bar,"['Restaurant', 'Banquet hall', 'Cocktail bar', 'Event venue', 'Pool billard club', 'Sports bar']"
203,0x88e5b5b13b036a25:0x18f4571d4cc65d83,Funnel Cake Queen,"['Dessert shop', 'Dessert restaurant', 'Restaurant']"
204,0x88dae3419f27be47:0x7c765fccb8921e93,Eat Smart Naples,['Restaurant']
205,0x88c2b7181c4deead:0x29da2101a8ab1e42,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
206,0x88c2d77f5bf3b791:0x96d1a4c9a876407f,Cajun Crab House,['Restaurant']
207,0x88e5c7660b8f4651:0xe811b8cfc95e032e,Best Weekend Bar & Resto,['Restaurant']
208,0x88e5b7f7ef1fd3ad:0x7980fb9cbcc1f571,Mag's Cafe,['Restaurant']
209,0x88c2c772b8431a9d:0x791b8ad9c5b686f7,El Sabor Latino,['Restaurant']
210,0x88de5ed927eccab3:0xe5f4ce62eb1bddb5,21st Street Taphouse,['Bar']
211,0x88de1075ddb93cd5:0xf1c20563f90cd90c,Beachside Fusion,['Restaurant']
212,0x88db1136ce81847f:0xf2baf3edb0d783d3,Shell,"['Gas station', 'ATM', 'Car wash', 'Convenience store', 'Restaurant']"
213,0x88e8a330829a0509:0xe1e4b6ffd6f65dae,Spurrier's Gridiron Grille,['Restaurant']
214,0x88e77eeab7e9f867:0x20af119abcc536b0,Nestle Toll House Cafe By Chip,['Cafe']
